,maximum,minimum
R34D5126C,99999.0,0.0
R34D84D62,0.0,0.0
R34F3C81A,0.0,-99986.3827
R34FDE651,99999.0,-99999.0
R351EC957,14285.571429,0.0
R35215E7E,99999.0,-99999.0
R3522C907,99999.0,-99999.0
R35360155,99999.0,0.0
R356C013D,99999.0,0.0
R35749FE2,99999.0,-99999.0
R3574F809,99999.0,0.0
R35832EE3,-0.00011,-99999.0
R35A30BFB,99999.0,0.0
R35A81333,99999.0,0.0
R35B5C04C,0.0,0.0
R35C94825,99999.0,-99999.0
R35F7CAE8,99991.56,-99999.0
R36162E58,99999.0,-99999.0
R362BB687,0.0,0.0
R36851676,99999.0,0.0
R36BDE232,99999.0,0.0
R36C11FB5,99999.0,-99999.0
R371B2621,99999.0,-99999.0
R3724869E,99999.0,0.0
R37389FEB,0.0,-99999.0
R376B95D9,99999.0,0.0
R378F6EB5,99999.0,-99999.0
R37B602E9,99999.0,0.0
R37F5F093,83332.5,0.0
R38B7B02C,99999.0,-99999.0
R38D3B430,99999.0,-99999.0
R38DC13FF,99999.0,0.0
R393C27B3,99999.0,0.0
R39679DC9,99986.3827,0.0
R396D3B23,99999.0,-99999.0
R396FA75E,99999.0,0.0
R3987DFEB,99999.0,-99999.0
R39997F27,99994.65,-99999.0
R39EB37F1,99999.0,-99999.0
R3A32B4C2,99999.0,0.0
R3A6F77E6,99999.0,0.0
R3AC6FA16,0.0,0.0
R3AD432DF,99999.0,-99999.0
R3AF44045,99999.0,-99999.0
R3B0400F0,99999.0,-99999.0
R3B50103A,99999.0,0.0
R3B5A7CAF,99999.0,0.0
R3B671E74,99999.0,0.0
R3B6C5584,99999.0,-99999.0
R3BA7DF1,99986.3827,0.0
R3BABACC5,99986.3827,0.0
R3BBAF10F,99999.0,0.0
R3BC40A33,99999.0,-99999.0
R3BC58D12,0.0,0.0
R3BD984BB,99999.0,0.0
R3BE275A8,99999.0,0.0
R3BE5C630,99999.0,0.0
R3BEFD1B2,99999.0,0.0
R3C00042B,99999.0,0.0
R3C2049FA,0.0,0.0
R3C436F8,99999.0,0.0
R3C4E141A,0.0,0.0
R3C5F3B29,99999.0,-99999.0
R3C5F6DFC,0.0,0.0
R3C83B47F,99999.0,0.0
R3C966D2E,0.0,0.0
R3CDDF57,99999.0,-99999.0
R3D1673D8,99994.65,-99999.0
R3DEA5779,99999.0,-99999.0
R3E128879,99986.3827,0.0
R3E15D408,99999.0,0.0
R3E16B9A,99999.0,-99999.0
R3E40C89E,99999.0,0.0
