,minimum,maximum
rxn10216,0.0,0.0
rxn10212,0.0,0.0
rxn10211,0.0,0.078879
rxn10213,0.0,0.003366
rxn05175,0.0,0.0
rxn03243,0.0,1000.0
rxn03243_REV,-0.0,1000.0
rxn03248,0.0,1000.0
rxn03248_REV,0.0,1000.0
rxn06510,0.0,1000.0
rxn06510_REV,-0.0,1000.0
rxn02804,0.0,1000.0
rxn02804_REV,0.0,1000.0
rxn02680,0.0,1000.0
rxn02680_REV,0.0,1000.0
rxn05619,0.0,0.0
rxn05163,0.0,0.0
rxn10158,0.0,1000.0
rxn10158_REV,0.0,1000.0
rxn05603,0.0,1000.0
rxn05603_REV,0.0,1000.0
rxn05154,0.0,0.0
rxn00727,0.057576,0.057576
rxn05161,0.0,1000.0
rxn05168,0.0,1000.0
rxn05155,0.0,0.0
rxn05201,0.0,1000.0
rxn05201_REV,0.0,1000.0
rxn02831,0.0,0.0
rxn13885,0.0,1000.0
rxn13885_REV,0.0,1000.0
rxn05512,0.0,0.0
rxn08669,0.0,0.0
rxn05156,0.0,0.0
rxn05164,0.0,1000.0
rxn13828,0.0,0.0
rxn13829,0.0,0.0
rxn05247,0.0,0.0
rxn05248,0.0,0.0
rxn05249,0.0,0.0
rxn05250,0.0,0.0
rxn05251,0.0,0.0
rxn05252,0.0,0.0
rxn09450,0.0,0.0
rxn09449,0.0,0.0
rxn09448,0.0,0.0
rxn05736,0.0,0.0
rxn00947,0.0,0.0
rxn13892,0.0,0.0
rxn08002,0.223463,0.223463
rxn05349,0.0,1000.0
rxn05349_REV,0.0,1000.0
rxn00187,0.0,1000.0
rxn05331,0.525807,1000.0
rxn05331_REV,0.0,999.474193
rxn05333,0.578717,1000.0
rxn05333_REV,0.0,999.421283
rxn10221,0.0,1000.0
rxn10221_REV,0.0,1000.0
rxn10224,0.0,1000.0
rxn10224_REV,0.0,1000.0
rxn08306,0.0,1000.0
rxn08306_REV,0.0,1000.0
rxn08307,0.0,1000.0
rxn08307_REV,0.0,1000.0
rxn08308,0.0,1000.0
rxn08308_REV,0.0,1000.0
rxn08310,0.033599,1000.0
rxn08310_REV,0.0,999.966401
rxn08311,0.003366,1000.0
rxn08311_REV,0.0,999.996634
rxn08312,0.107314,1000.0
rxn08312_REV,0.0,999.892686
rxn10220,0.0,1000.0
rxn10220_REV,0.0,1000.0
rxn10225,0.0,1000.0
rxn10225_REV,0.0,1000.0
rxn10223,0.0,1000.0
rxn10223_REV,0.0,1000.0
rxn10222,0.0,1000.0
rxn10222_REV,0.0,1000.0
rxn10481,0.0,1000.0
rxn10344,0.0,0.0
rxn10343,0.0,0.0
rxn01629,0.0,999.999171
rxn01629_REV,0.000829,1000.0
rxn00986,0.0,0.0
rxn00675,0.0,1000.0
rxn00675_REV,0.0,1000.0
rxn05206,0.0,1000.0
rxn05206_REV,0.0,1000.0
rxn02911,0.0,1000.0
rxn02911_REV,0.0,1000.0
rxn03240,0.0,1000.0
rxn03240_REV,0.0,1000.0
rxn03241,0.0,1000.0
rxn03241_REV,0.0,1000.0
rxn03245,0.0,1000.0
rxn03245_REV,0.0,1000.0
rxn03250,0.0,1000.0
rxn03250_REV,-0.0,1000.0
rxn03247,0.0,1000.0
rxn03247_REV,-0.0,1000.0
rxn05165,0.0,1000.0
rxn05181,0.0,0.0
rxn10978,0.0,1000.0
rxn10978_REV,0.0,1000.0
rxn13831,0.0,1000.0
rxn10338,0.0,1000.0
rxn10338_REV,0.0,1000.0
rxn10341,0.0,1000.0
rxn10341_REV,0.0,1000.0
rxn10337,0.0,1000.0
rxn10337_REV,0.0,1000.0
rxn10342,0.0,1000.0
rxn10342_REV,0.0,1000.0
rxn10340,0.0,1000.0
rxn10340_REV,0.0,1000.0
rxn10339,0.0,1000.0
rxn10339_REV,0.0,1000.0
rxn10335,0.0,1000.0
rxn10335_REV,0.0,1000.0
rxn10334,0.0,1000.0
rxn10334_REV,0.0,1000.0
rxn10336,0.0,1000.0
rxn10336_REV,0.0,1000.0
rxn13785,0.0,1000.0
rxn13785_REV,0.0,1000.0
rPY00162,0.004457,0.004457
rPY00167,0.008834,0.008834
rxn02160,0.083919,9.534821
rxn13872,0.0,1000.0
rxn13872_REV,0.0,1000.0
rxn01964,0.057576,9.544998
rxn00416,0.102134,23.612207
rxn05651,0.0,0.125829
rxn05564,0.0,1000.0
rxn05564_REV,0.0,1000.0
rxn01192,0.0,4.57279
rxn12206,0.0,0.0
rxn12432,0.0,1000.0
rxn12432_REV,0.0,1000.0
rxn00874,0.0,1000.0
rxn00874_REV,0.0,1000.0
rxn02483,0.0,4.57279
rxn01827,0.0,2.249757
rxn03393,0.0,-0.0
rxn05176,0.0,1000.0
rxn05176_REV,0.0,1000.0
rxn05153,0.0,0.125829
rxn00858,0.0,8.23019
rxn05237,0.0,0.0
rxn11080,0.0,0.0
rxn09657,0.0,1000.0
rxn09657_REV,0.0,1000.0
rxn05202,0.0,1000.0
rxn05202_REV,0.0,1000.0
rxn05682,0.0,1000.0
rxn05682_REV,0.0,1000.0
rxn05312,0.0,1000.0
rxn05312_REV,0.0,1000.0
rxn05527,0.0,1000.0
rxn05527_REV,-0.0,1000.0
rxn05318,0.0,1000.0
rxn05318_REV,0.0,1000.0
rxn05198,0.0,1000.0
rxn05198_REV,0.0,1000.0
rxn05317,0.0,1000.0
rxn05317_REV,0.0,1000.0
rxn05205,0.0,1000.0
rxn05205_REV,0.0,1000.0
rxn05316,0.0,1000.0
rxn05316_REV,0.0,1000.0
rxn05200,0.0,1000.0
rxn05200_REV,0.0,1000.0
rxn05199,0.0,1000.0
rxn05199_REV,0.0,1000.0
rxn09688,0.0,0.0
rxn09687,0.0,0.0
rxn09685,0.0,0.0
rxn02287,0.0,1000.0
rxn02287_REV,0.0,1000.0
rxn00567,0.0,1000.0
rxn00567_REV,-0.0,1000.0
rJB00273,0.0,1000.0
rJB00273_REV,0.0,1000.0
rJB00274,0.0,1000.0
rJB00274_REV,0.0,1000.0
rxn04092,0.0,9.999585
rxn08550,0.033599,0.033599
rxn08552,0.107314,0.107314
rxn02503,0.000104,1000.0
rxn02503_REV,0.0,999.999896
rxn00256,0.0,1000.0
rxn00256_REV,0.0,1000.0
rxn00225,0.0,1000.0
rxn00225_REV,0.0,1000.0
rxn00799,0.0,1000.0
rxn00799_REV,0.0,1000.0
rxn05663,-0.0,1000.0
rxn05663_REV,0.0,1000.0
rxn00806,0.0,999.518296
rxn00806_REV,0.481704,1000.0
rxn00493,0.0,999.862536
rxn00493_REV,0.137464,1000.0
rxn05108,0.0,1000.0
rxn05108_REV,0.0,1000.0
rxn12562,0.0,1000.0
rxn12562_REV,0.0,1000.0
rJB00237,0.0,1000.0
rJB00237_REV,0.0,1000.0
rJB00240,0.0,1000.0
rJB00240_REV,0.0,1000.0
rxn05207,0.0,1000.0
rxn05207_REV,0.0,1000.0
rJB00238,0.0,1000.0
rJB00238_REV,0.0,1000.0
rxn03004,0.0,0.368785
rxn13841,0.0,1000.0
rxn13841_REV,0.0,1000.0
rxn01644,0.166245,0.166245
rxn04093,0.0,0.0
